IMP DEV JT TOE LVL 03,2775484,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,13895.00000,3973.97000,Arizona Medical Network,Commercial,,9726.50,,,,,,,6252.75,10421.25,percent of total billed charges,
IMP DEV JT TOE LVL 05,2775518,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,21904.00000,6264.54000,"Cigna Healthcare of Arizona, Inc.",Commercial,,12550.99,,,,,,,9856.80,16428.00,percent of total billed charges,
IMP DEV JT TOE LVL 05,2775518,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,21904.00000,6264.54000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,9856.80,,,,,,,9856.80,16428.00,percent of total billed charges,
IMP DEV JT TOE LVL 05,2775518,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,21904.00000,6264.54000,Plotkin Health,Plotkin Health,,9856.80,,,,,,,2065.60,16428.00,percent of total billed charges,
IMP DEV JT TOE LVL 05,2775518,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,21904.00000,6264.54000,Quiktrip Corporation,Commercial,,11828.16,,,,,,,2065.60,16428.00,percent of total billed charges,
IMP DEV JT WRIST TOTAL LVL 02,6289011,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,7079.18,,,,,,,1853.00,7079.18,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV JT WRIST TOTAL LVL 02,6289011,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,Health Net,Commerical Exchange Product,,5003.10,,,,,,,1853.00,7079.18,percent of total billed charges,
IMP DEV JT WRIST TOTAL LVL 02,6289011,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,Health Net,Commerical Exchange Product,,5003.10,,,,,,,1853.00,7079.18,percent of total billed charges,
IMP DEV JT WRIST TOTAL LVL 04,6289037,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,17524.00000,5011.86000,Health Net,Medicare,,8762.00,,,,,,,2065.60,13143.00,percent of total billed charges,
IMP DEV JT WRIST TOTAL LVL 05,6289045,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,21904.00000,6264.54000,Oscar Health Plan,Commercial,,10952.00,,,,,,,2065.60,16428.00,percent of total billed charges,
IMP DEV JT WRIST TOTAL LVL 06,6289052,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,26284.00000,7517.22000,"Health Choice Arizona, Inc.",Medicare Advantage,,7885.20,,,,,,,2065.60,19713.00,percent of total billed charges,
IMP DEV JT WRIST TOTAL LVL 08,6289078,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,35044.00000,10022.58000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,15769.80,,,,,,,2065.60,26283.00,percent of total billed charges,
IMP DEV JT WRIST TOTAL LVL 10,6289094,CDM,278,RC,C1776,HCPCS,,,facility,inpatient,,,43804.00000,12527.94000,Provider Network of America,Commercial,,32853.00,,,,,,,19711.80,32853.00,percent of total billed charges,
IMP DEV JT WRIST TOTAL LVL 10,6289094,CDM,278,RC,C1776,HCPCS,,,facility,outpatient,,,43804.00000,12527.94000,Arizona Medical Network,Commercial,,30662.80,,,,,,,2065.60,32853.00,percent of total billed charges,
IMP DEV OCCL I-TUBAL CONTRCP LVL 01,2799245,CDM,278,RC,A4264,HCPCS,,,facility,outpatient,,,166.00000,47.48000,Oscar Health Plan,Commercial,,83.00,,,,,,,23.92,3302.07,percent of total billed charges,
IMP DEV OCCL I-TUBAL CONTRCP LVL 02,2799252,CDM,278,RC,A4264,HCPCS,,,facility,outpatient,,,313.00000,89.52000,Aetna,Qualified Health Plan,,70.42,,,,,,,45.10,3302.07,percent of total billed charges,
IMP DEV OCCL I-TUBAL CONTRCP LVL 03,2799260,CDM,278,RC,A4264,HCPCS,,,facility,inpatient,,,594.00000,169.88000,"Cigna Healthcare of Arizona, Inc.",Commercial,,340.36,,,,,,,267.30,445.50,percent of total billed charges,
IMP DEV OCCL I-TUBAL CONTRCP LVL 05,2799286,CDM,278,RC,A4264,HCPCS,,,facility,outpatient,,,2695.00000,770.77000,Aetna,Medical Rental,,1420.27,,,,,,,388.35,3302.07,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
IMP DEV OCCL I-TUBAL CONTRCP LVL 05,2799286,CDM,278,RC,A4264,HCPCS,,,facility,outpatient,,,2695.00000,770.77000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,2641.66,,,,,,,388.35,3302.07,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV OCCL I-TUBAL CONTRCP LVL 06,2793834,CDM,278,RC,A4264,HCPCS,,,facility,outpatient,,,3853.00000,1101.96000,United Healthcare,Commercial,,2057.50,,,,,,,555.22,3302.07,percent of total billed charges,
IMP DEV OCCL I-TUBAL CONTRCP LVL 07,2793842,CDM,278,RC,A4264,HCPCS,,,facility,outpatient,,,6105.00000,1746.03000,Quiktrip Corporation,Commercial,,3296.70,,,,,,,879.73,4578.75,percent of total billed charges,
IMP DEV OCCL I-TUBAL CONTRCP LVL 08,2793859,CDM,278,RC,A4264,HCPCS,,,facility,outpatient,,,11580.00000,3311.88000,Arizona Physicians IPA,Medicaid,,1668.68,,,,,,,963.50,8685.00,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 01,6284038,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,594.00000,169.88000,"Health Choice Arizona, Inc.",Medicaid,,3613.25,,,,,,,118.80,26176.65,fee schedule,
IMP DEV OSSEO AUD INT&EXT LVL 02,6284046,CDM,278,RC,L8690,HCPCS,,,facility,inpatient,,,1132.00000,323.75000,Quiktrip Corporation,Commercial,,611.28,,,,,,,509.40,849.00,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 05,6284079,CDM,278,RC,L8690,HCPCS,,,facility,inpatient,,,4885.00000,1397.11000,"Cigna Healthcare of Arizona, Inc.",Commercial,,2799.11,,,,,,,2198.25,3663.75,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 06,6284087,CDM,278,RC,L8690,HCPCS,,,facility,inpatient,,,6950.00000,1987.70000,Aetna,Medical Rental,,3662.65,,,,,,,3127.50,5212.50,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 06,6284087,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,6950.00000,1987.70000,Aetna,Designated Group,,3363.80,,,,,,,1390.00,26176.65,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 06,6284087,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,6950.00000,1987.70000,Provider Network of America,Commercial,,5212.50,,,,,,,1390.00,26176.65,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 08,6284103,CDM,278,RC,L8690,HCPCS,,,facility,inpatient,,,11580.00000,3311.88000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,6345.84,,,,,,,5211.00,8685.00,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 08,6284103,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,11580.00000,3311.88000,Aetna,Designated Group,,5604.72,,,,,,,2316.00,26176.65,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 08,6284103,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,11580.00000,3311.88000,Health Net,Medicare,,5790.00,,,,,,,2316.00,26176.65,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 09,6284111,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,13895.00000,3973.97000,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,,21988.22,,,,,,,2779.00,26176.65,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV OSSEO AUD INT&EXT LVL 11,6284137,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,21904.00000,6264.54000,United Healthcare,UHC Doctor's Plan,,10623.44,,,,,,,3613.25,26176.65,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 12,6284145,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,26284.00000,7517.22000,"Health Choice Arizona, Inc.",Medicaid,,3613.25,,,,,,,3613.25,26176.65,fee schedule,
IMP DEV OSSEO AUD INT&EXT LVL 13,6285167,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,30664.00000,8769.90000,"Health Choice Arizona, Inc.",Medicaid,,3613.25,,,,,,,3613.25,26176.65,fee schedule,
IMP DEV OSSEO AUD INT&EXT LVL 13,6285167,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,30664.00000,8769.90000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,,7637.97,,,,,,,3613.25,26176.65,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
IMP DEV OSSEO AUD INT&EXT LVL 14,6285175,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,35044.00000,10022.58000,"Health Choice Arizona, Inc.",ACA Health Plan,,17522.00,,,,,,,3613.25,26283.00,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 14,6285175,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,35044.00000,10022.58000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,19632.49,,,,,,,3613.25,26283.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV OSSEO AUD INT&EXT LVL 16,6288369,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,43804.00000,12527.94000,"Cigna Healthcare of Arizona, Inc.",Commercial,,25099.69,,,,,,,3613.25,32853.00,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 16,6288369,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,43804.00000,12527.94000,Aetna,Designated Group,,21201.14,,,,,,,3613.25,32853.00,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 16,6288369,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,43804.00000,12527.94000,Aetna,Medicare Advantage,,8760.80,,,,,,,3613.25,32853.00,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 17,6288377,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,48184.00000,13780.62000,Health Net,Commerical Exchange Product,,26019.36,,,,,,,3613.25,36138.00,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 17,6288377,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,48184.00000,13780.62000,Health Net,Commerical Exchange Product,,26019.36,,,,,,,3613.25,36138.00,percent of total billed charges,
IMP DEV OSSEO AUD INT&EXT LVL 18,6288385,CDM,278,RC,L8690,HCPCS,,,facility,outpatient,,,52564.00000,15033.30000,Health Net,Medicare,,26282.00,,,,,,,3613.25,39423.00,percent of total billed charges,
IMP DEV SYS BAROSTIM,6311567,CDM,278,RC,C1825,HCPCS,,,facility,inpatient,,,152211.00000,43532.35000,Plotkin Health,Plotkin Health,,68494.95,,,,,,,68494.95,114158.25,percent of total billed charges,
IMP DEV SYS BAROSTIM,6311567,CDM,278,RC,C1825,HCPCS,,,facility,outpatient,,,152211.00000,43532.35000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,,52812.75,,,,,,,15410.00,114158.25,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV TISS LOCAL/EXCISION LVL 01,6293641,CDM,278,RC,C1819,HCPCS,,,facility,outpatient,,,594.00000,169.88000,Arizona Physicians IPA,Medicaid,,133.06,,,,,,,118.80,747.83,percent of total billed charges,Rates may be adjusted for facility-specific peer groups and all other adjusters.
IMP DEV TISS LOCAL/EXCISION LVL 02,6293658,CDM,278,RC,C1819,HCPCS,,,facility,outpatient,,,1413.00000,404.12000,Banner University Health Plan,AZ Medicaid - AHCCCS,,316.51,,,,,,,218.21,1059.75,percent of total billed charges,
IMP DEV TISS LOCAL/EXCISION LVL 04,6293674,CDM,278,RC,C1819,HCPCS,,,facility,outpatient,,,3853.00000,1101.96000,Health Net,Medicaid,,863.07,,,,,,,218.21,2889.75,percent of total billed charges,
IMP DEV TISS LOCAL/EXCISION LVL 09,6293724,CDM,278,RC,C1819,HCPCS,,,facility,outpatient,,,15334.00000,4385.52000,Arizona Medical Network,Commercial,,10733.80,,,,,,,218.21,11500.50,percent of total billed charges,
IMP DEV TISS LOCAL/EXCISION LVL 09,6293724,CDM,278,RC,C1819,HCPCS,,,facility,outpatient,,,15334.00000,4385.52000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,,218.21,,,,,,,218.21,11500.50,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
IMP DEV TISS LOCAL/EXCISION LVL 10,6293732,CDM,278,RC,C1819,HCPCS,,,facility,inpatient,,,17524.00000,5011.86000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,9603.15,,,,,,,7885.80,13143.00,percent of total billed charges,
IMP DEV TISS LOCAL/EXCISION LVL 10,6293732,CDM,278,RC,C1819,HCPCS,,,facility,inpatient,,,17524.00000,5011.86000,Arizona Medical Network,Commercial,,12266.80,,,,,,,7885.80,13143.00,percent of total billed charges,
IMP DEV TISS LOCAL/EXCISION LVL 10,6293732,CDM,278,RC,C1819,HCPCS,,,facility,inpatient,,,17524.00000,5011.86000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,7885.80,,,,,,,7885.80,13143.00,percent of total billed charges,
IMP DEV TISS LOCAL/EXCISION LVL 10,6293732,CDM,278,RC,C1819,HCPCS,,,facility,outpatient,,,17524.00000,5011.86000,United Healthcare,UHC Core,,8884.67,,,,,,,218.21,13143.00,percent of total billed charges,
IMP DEV URINARY W SLING LVL 01,6275580,CDM,278,RC,C1771,HCPCS,,,facility,outpatient,,,2690.00000,769.34000,United Healthcare,UHC Core,,1363.83,,,,,,,538.00,14594.35,percent of total billed charges,
IMP DEV URINARY W SLING LVL 02,2772499,CDM,278,RC,C1771,HCPCS,,,facility,outpatient,,,4885.00000,1397.11000,Aetna,Designated Group,,2364.34,,,,,,,977.00,14594.35,percent of total billed charges,
IMP DEV URINARY W SLING LVL 02,2772499,CDM,278,RC,C1771,HCPCS,,,facility,outpatient,,,4885.00000,1397.11000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,,1954.00,,,,,,,977.00,14594.35,percent of total billed charges,For services and procedures not listed Hospital will be reimbursed at 40% of Hospital's billed charges less any applicable co-payments. Implants not included in the Medicare global reimbursement shall be reimbursed at 40% of billed charges.
IMP DEV URINARY W SLING LVL 02,2772499,CDM,278,RC,C1771,HCPCS,,,facility,outpatient,,,4885.00000,1397.11000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,,4258.42,,,,,,,977.00,14594.35,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
IMP DEV URINARY W SLING LVL 02,2772499,CDM,278,RC,C1771,HCPCS,,,facility,outpatient,,,4885.00000,1397.11000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,2198.25,,,,,,,977.00,14594.35,percent of total billed charges,
IMP DEV URINARY W SLING LVL 03,6273247,CDM,278,RC,C1771,HCPCS,,,facility,outpatient,,,6950.00000,1987.70000,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,,12259.16,,,,,,,1390.00,14594.35,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV URINARY W SLING LVL 04,6273254,CDM,278,RC,C1771,HCPCS,,,facility,inpatient,,,9265.00000,2649.79000,Provider Network of America,Commercial,,6948.75,,,,,,,4169.25,6948.75,percent of total billed charges,
IMP DEV URINARY W SLING LVL 04,6273254,CDM,278,RC,C1771,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,10945.77,,,,,,,1853.00,14594.35,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV URINARY W SLING LVL 05,6276513,CDM,278,RC,C1771,HCPCS,,,facility,outpatient,,,11580.00000,3311.88000,Blue Cross Blue Shield of Arizona,Commercial,,14594.35,,,,,,,2316.00,14594.35,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV URINARY W SLING LVL 08,6283790,CDM,278,RC,C1771,HCPCS,,,facility,outpatient,,,21904.00000,6264.54000,Health Net,Medicaid,,4906.50,,,,,,,4258.42,16428.00,percent of total billed charges,
IMP DEV URINARY W SLING LVL 09,6287593,CDM,278,RC,C1771,HCPCS,,,facility,outpatient,,,26284.00000,7517.22000,Arizona Medical Network,Commercial,,18398.80,,,,,,,4258.42,19713.00,percent of total billed charges,
IMP DEV URINARY W SLING LVL 09,6287593,CDM,278,RC,C1771,HCPCS,,,facility,outpatient,,,26284.00000,7517.22000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,10945.77,,,,,,,4258.42,19713.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV URINARY W SLING LVL 10,6299978,CDM,278,RC,C1771,HCPCS,,,facility,outpatient,,,30664.00000,8769.90000,Aetna,Banner Employee Plans,,10303.10,,,,,,,4258.42,22998.00,percent of total billed charges,
IMP DEV URINARY WO SLNG LVL 01,6276042,CDM,278,RC,C2631,HCPCS,,,facility,outpatient,,,2421.00000,692.41000,Aetna,Medical Rental,,1275.87,,,,,,,484.20,2530.72,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
IMP DEV URINARY WO SLNG LVL 01,6276042,CDM,278,RC,C2631,HCPCS,,,facility,outpatient,,,2421.00000,692.41000,United Healthcare,UHC Core,,1227.45,,,,,,,484.20,2530.72,percent of total billed charges,
IMP DEV URINARY WO SLNG LVL 02,2772507,CDM,278,RC,C2631,HCPCS,,,facility,outpatient,,,3853.00000,1101.96000,Health Net,Commerical Exchange Product,,2080.62,,,,,,,738.43,2889.75,percent of total billed charges,
IMP DEV URINARY WO SLNG LVL 02,2772507,CDM,278,RC,C2631,HCPCS,,,facility,outpatient,,,3853.00000,1101.96000,Health Net,Commerical Exchange Product,,2080.62,,,,,,,738.43,2889.75,percent of total billed charges,
IMP DEV URINARY WO SLNG LVL 04,6275051,CDM,278,RC,C2631,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,"Cigna Healthcare of Arizona, Inc.",Commercial,,5308.85,,,,,,,738.43,6948.75,percent of total billed charges,
IMP DEV URINARY WO SLNG LVL 04,6275051,CDM,278,RC,C2631,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,Banner University Health Plan,University Family Plan,,2075.36,,,,,,,738.43,6948.75,percent of total billed charges,
IMP DEV URINARY WO SLNG LVL 05,6276521,CDM,278,RC,C2631,HCPCS,,,facility,outpatient,,,11580.00000,3311.88000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,6345.84,,,,,,,738.43,8685.00,percent of total billed charges,
IMP DEV/S FUSN&FIX JT SI&PEL LVL 01,2799724,CDM,278,RC,C1737,HCPCS,,,facility,outpatient,,,313.00000,89.52000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,171.52,,,,,,,62.60,386.24,percent of total billed charges,
IMP DEV/S FUSN&FIX JT SI&PEL LVL 01,2799724,CDM,278,RC,C1737,HCPCS,,,facility,outpatient,,,313.00000,89.52000,Aetna,Qualified Health Plan,,70.42,,,,,,,62.60,386.24,percent of total billed charges,
IMP DEV/S FUSN&FIX JT SI&PEL LVL 01,2799724,CDM,278,RC,C1737,HCPCS,,,facility,outpatient,,,313.00000,89.52000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,308.99,,,,,,,62.60,386.24,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV/S FUSN&FIX JT SI&PEL LVL 02,2799732,CDM,278,RC,C1737,HCPCS,,,facility,outpatient,,,1413.00000,404.12000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,,289.68,,,,,,,112.70,1059.75,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
IMP DEV/S FUSN&FIX JT SI&PEL LVL 02,2799732,CDM,278,RC,C1737,HCPCS,,,facility,outpatient,,,1413.00000,404.12000,Health Net,Medicaid,,316.51,,,,,,,112.70,1059.75,percent of total billed charges,
IMP DEV/S FUSN&FIX JT SI&PEL LVL 04,2799757,CDM,278,RC,C1737,HCPCS,,,facility,outpatient,,,3853.00000,1101.96000,Banner University Health Plan,AZ Medicaid - AHCCCS,,863.07,,,,,,,112.70,2889.75,percent of total billed charges,
IMP DEV/S FUSN&FIX JT SI&PEL LVL 05,2799765,CDM,278,RC,C1737,HCPCS,,,facility,inpatient,,,6105.00000,1746.03000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,2747.25,,,,,,,2747.25,4578.75,percent of total billed charges,
IMP DEV/S FUSN&FIX JT SI&PEL LVL 05,2799765,CDM,278,RC,C1737,HCPCS,,,facility,outpatient,,,6105.00000,1746.03000,Mercy Care,Medicaid,,1367.52,,,,,,,112.70,4578.75,percent of total billed charges,
IMP DEV/S FUSN&FIX JT SI&PEL LVL 06,2799773,CDM,278,RC,C1737,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,Aetna,Banner Employee Plans,,3113.04,,,,,,,112.70,6948.75,percent of total billed charges,
IMP DEV/S FUSN&FIX JT SI&PEL LVL 06,2799773,CDM,278,RC,C1737,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,Aetna,Broad Network,,5281.05,,,,,,,112.70,6948.75,percent of total billed charges,
IMP DEV/S FUSN&FIX JT SI&PEL LVL 06,2799773,CDM,278,RC,C1737,HCPCS,,,facility,outpatient,,,9265.00000,2649.79000,Banner University Health Plan,AZ Medicaid - AHCCCS,,2075.36,,,,,,,112.70,6948.75,percent of total billed charges,
