facility,ZZQS - 11Ga x 15cm Madison Perforating Bone Biopsy Kit w/ Drill,SUP-384754,CDM,,,0270,RC,,,,outpatient,,,463.75,185.5,199.41,492.91,,254.6,,,,,,,percent of total billed charges,,325.55,,,,,,,percent of total billed charges,,221.63,,,,,,,percent of total billed charges,,,,,,,,,,,347.81,,,,,,,percent of total billed charges,,,,,,,,,,,347.81,,,,,,,percent of total billed charges,,338.54,,,,,,,percent of total billed charges,,266.19,,,,,,,percent of total billed charges,,302.37,,,,,,,percent of total billed charges,,213.33,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.16,,,,,,,percent of total billed charges,,384.91,,,,,,,percent of total billed charges,,199.41,,,,,,,percent of total billed charges,,231.88,,,,,,,percent of total billed charges,,324.63,,,,,,,percent of total billed charges,,353.38,,,,,,,percent of total billed charges,,267.58,,,,,,,percent of total billed charges,,347.81,,,,,,,percent of total billed charges,,394.19,,,,,,,percent of total billed charges,,394.19,,,,,,,percent of total billed charges,,347.81,,,,,,,percent of total billed charges,,241.15,,,,,,,percent of total billed charges,,217.96,,,,,,,percent of total billed charges,,324.63,,,,,,,percent of total billed charges,,394.19,,,,,,,percent of total billed charges,,324.63,,,,,,,percent of total billed charges,,278.25,,,,,,,percent of total billed charges,,492.91,,,,,,,percent of total billed charges,,221.63,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,ZZQS - 12 X 60CM PENUMBRA POD OCCUSION DEVICE,SUP-611267,CDM,,,0270,RC,,,,inpatient,,,5374.2,2149.68,2310.91,5712.15,,2950.44,,,,,,,percent of total billed charges,,3772.68,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,4030.65,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,4030.65,,,,,,,percent of total billed charges,,3923.17,,,,,,,percent of total billed charges,,3084.79,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,3503.97,,,,,,,percent of total billed charges,,2472.13,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3756.57,,,,,,,percent of total billed charges,,4460.59,,,,,,,percent of total billed charges,,2310.91,,,,,,,percent of total billed charges,,2687.1,,,,,,,percent of total billed charges,,3761.94,,,,,,,percent of total billed charges,,4095.14,,,,,,,percent of total billed charges,,3100.91,,,,,,,percent of total billed charges,,4030.65,,,,,,,percent of total billed charges,,4568.07,,,,,,,percent of total billed charges,,4568.07,,,,,,,percent of total billed charges,,4030.65,,,,,,,percent of total billed charges,,2794.58,,,,,,,percent of total billed charges,,2525.87,,,,,,,percent of total billed charges,,3761.94,,,,,,,percent of total billed charges,,4568.07,,,,,,,percent of total billed charges,,3761.94,,,,,,,percent of total billed charges,,3224.52,,,,,,,percent of total billed charges,,5712.15,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,ZZQS - 120cm x 25mm ONE Snare Endovascular Snare System,SUP-432926,CDM,C1773,HCPCS,0272,RC,,,,inpatient,,,986,394.4,423.98,1048,,541.31,,,,,,,percent of total billed charges,,692.17,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,739.5,,,,,,,percent of total billed charges,,,,,,,,,,,739.5,,,,,,,percent of total billed charges,,719.78,,,,,,,percent of total billed charges,,565.96,,,,,,,percent of total billed charges,,642.87,,,,,,,percent of total billed charges,,453.56,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.21,,,,,,,percent of total billed charges,,818.38,,,,,,,percent of total billed charges,,423.98,,,,,,,percent of total billed charges,,493,,,,,,,percent of total billed charges,,690.2,,,,,,,percent of total billed charges,,751.33,,,,,,,percent of total billed charges,,568.92,,,,,,,percent of total billed charges,,739.5,,,,,,,percent of total billed charges,,838.1,,,,,,,percent of total billed charges,,838.1,,,,,,,percent of total billed charges,,739.5,,,,,,,percent of total billed charges,,512.72,,,,,,,percent of total billed charges,,463.42,,,,,,,percent of total billed charges,,690.2,,,,,,,percent of total billed charges,,838.1,,,,,,,percent of total billed charges,,690.2,,,,,,,percent of total billed charges,,591.6,,,,,,,percent of total billed charges,,1048,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,ZZQS - 12Fr x 1.2cm MIC-KEY Low Profile Gastrostomy Feeding Tube,SUP-460787,CDM,B4088,HCPCS,0278,RC,,,,outpatient,,,353.3,141.32,151.92,375.52,,193.96,,,,,,,percent of total billed charges,,248.02,,,,,,,percent of total billed charges,,168.84,,,,,,,percent of total billed charges,,,,,,,,,,,264.98,,,,,,,percent of total billed charges,,,,,,,,,,,264.98,,,,,,,percent of total billed charges,,257.91,,,,,,,percent of total billed charges,,202.79,,,,,,,percent of total billed charges,,230.35,,,,,,,percent of total billed charges,,162.52,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.96,,,,,,,percent of total billed charges,,293.24,,,,,,,percent of total billed charges,,151.92,,,,,,,percent of total billed charges,,176.65,,,,,,,percent of total billed charges,,247.31,,,,,,,percent of total billed charges,,269.21,,,,,,,percent of total billed charges,,203.85,,,,,,,percent of total billed charges,,264.98,,,,,,,percent of total billed charges,,300.31,,,,,,,percent of total billed charges,,300.31,,,,,,,percent of total billed charges,,264.98,,,,,,,percent of total billed charges,,183.72,,,,,,,percent of total billed charges,,166.05,,,,,,,percent of total billed charges,,247.31,,,,,,,percent of total billed charges,,300.31,,,,,,,percent of total billed charges,,247.31,,,,,,,percent of total billed charges,,211.98,,,,,,,percent of total billed charges,,375.52,,,,,,,percent of total billed charges,,168.84,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,ZZQS - 12Fr x 40cm ClearPetra Ureteral Access Sheath,SUP-804000,CDM,C1894,HCPCS,0272,RC,,,,outpatient,,,1683,673.2,723.69,1788.83,,923.97,,,,,,,percent of total billed charges,,1181.47,,,,,,,percent of total billed charges,,804.31,,,,,,,percent of total billed charges,,,,,,,,,,,1262.25,,,,,,,percent of total billed charges,,,,,,,,,,,1262.25,,,,,,,percent of total billed charges,,1228.59,,,,,,,percent of total billed charges,,966.04,,,,,,,percent of total billed charges,,1097.32,,,,,,,percent of total billed charges,,774.18,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176.42,,,,,,,percent of total billed charges,,1396.89,,,,,,,percent of total billed charges,,723.69,,,,,,,percent of total billed charges,,841.5,,,,,,,percent of total billed charges,,1178.1,,,,,,,percent of total billed charges,,1282.45,,,,,,,percent of total billed charges,,971.09,,,,,,,percent of total billed charges,,1262.25,,,,,,,percent of total billed charges,,1430.55,,,,,,,percent of total billed charges,,1430.55,,,,,,,percent of total billed charges,,1262.25,,,,,,,percent of total billed charges,,875.16,,,,,,,percent of total billed charges,,791.01,,,,,,,percent of total billed charges,,1178.1,,,,,,,percent of total billed charges,,1430.55,,,,,,,percent of total billed charges,,1178.1,,,,,,,percent of total billed charges,,1009.8,,,,,,,percent of total billed charges,,1788.83,,,,,,,percent of total billed charges,,804.31,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,ZZQS - 12mm x 100mm Venovo Venous Stent System (120cm Delivery Catheter),SUP-668998,CDM,C1876,HCPCS,0278,RC,,,,inpatient,,,4293,1717.2,1845.99,4562.96,,2356.86,,,,,,,percent of total billed charges,,3013.69,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,3219.75,,,,,,,percent of total billed charges,,,,,,,,,,,3219.75,,,,,,,percent of total billed charges,,3133.89,,,,,,,percent of total billed charges,,2464.18,,,,,,,percent of total billed charges,,2799.04,,,,,,,percent of total billed charges,,1974.78,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.81,,,,,,,percent of total billed charges,,3563.19,,,,,,,percent of total billed charges,,1845.99,,,,,,,percent of total billed charges,,2146.5,,,,,,,percent of total billed charges,,3005.1,,,,,,,percent of total billed charges,,3271.27,,,,,,,percent of total billed charges,,2477.06,,,,,,,percent of total billed charges,,3219.75,,,,,,,percent of total billed charges,,3649.05,,,,,,,percent of total billed charges,,3649.05,,,,,,,percent of total billed charges,,3219.75,,,,,,,percent of total billed charges,,2232.36,,,,,,,percent of total billed charges,,2017.71,,,,,,,percent of total billed charges,,3005.1,,,,,,,percent of total billed charges,,3649.05,,,,,,,percent of total billed charges,,3005.1,,,,,,,percent of total billed charges,,2575.8,,,,,,,percent of total billed charges,,4562.96,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,ZZQS - 12mm x 40cm x 15mm TAG Thoracic Branch Device has an Aortic Component (investigational device),SUP-610124,CDM,,,0270,RC,,,,inpatient,,,70125,28050,30153.75,74534.7,,38498.63,,,,,,,percent of total billed charges,,49227.75,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,52593.75,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,52593.75,,,,,,,percent of total billed charges,,51191.25,,,,,,,percent of total billed charges,,40251.75,,,,,,,percent of total billed charges,,45721.5,,,,,,,percent of total billed charges,,32257.5,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49017.38,,,,,,,percent of total billed charges,,58203.75,,,,,,,percent of total billed charges,,30153.75,,,,,,,percent of total billed charges,,35062.5,,,,,,,percent of total billed charges,,49087.5,,,,,,,percent of total billed charges,,53435.25,,,,,,,percent of total billed charges,,40462.13,,,,,,,percent of total billed charges,,52593.75,,,,,,,percent of total billed charges,,59606.25,,,,,,,percent of total billed charges,,59606.25,,,,,,,percent of total billed charges,,52593.75,,,,,,,percent of total billed charges,,36465,,,,,,,percent of total billed charges,,32958.75,,,,,,,percent of total billed charges,,49087.5,,,,,,,percent of total billed charges,,59606.25,,,,,,,percent of total billed charges,,49087.5,,,,,,,percent of total billed charges,,42075,,,,,,,percent of total billed charges,,74534.7,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,ZZQS - 12mm x 60mm x 80cm Zilver Vena Venous Self-Expanding Stent,SUP-700606,CDM,C1876,HCPCS,0278,RC,,,,outpatient,,,5088,2035.2,2187.84,5407.95,,2793.31,,,,,,,percent of total billed charges,,3571.78,,,,,,,percent of total billed charges,,2431.56,,,,,,,percent of total billed charges,,,,,,,,,,,3816,,,,,,,percent of total billed charges,,,,,,,,,,,3816,,,,,,,percent of total billed charges,,3714.24,,,,,,,percent of total billed charges,,2920.51,,,,,,,percent of total billed charges,,3317.38,,,,,,,percent of total billed charges,,2340.48,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3556.51,,,,,,,percent of total billed charges,,4223.04,,,,,,,percent of total billed charges,,2187.84,,,,,,,percent of total billed charges,,2544,,,,,,,percent of total billed charges,,3561.6,,,,,,,percent of total billed charges,,3877.06,,,,,,,percent of total billed charges,,2935.78,,,,,,,percent of total billed charges,,3816,,,,,,,percent of total billed charges,,4324.8,,,,,,,percent of total billed charges,,4324.8,,,,,,,percent of total billed charges,,3816,,,,,,,percent of total billed charges,,2645.76,,,,,,,percent of total billed charges,,2391.36,,,,,,,percent of total billed charges,,3561.6,,,,,,,percent of total billed charges,,4324.8,,,,,,,percent of total billed charges,,3561.6,,,,,,,percent of total billed charges,,3052.8,,,,,,,percent of total billed charges,,5407.95,,,,,,,percent of total billed charges,,2431.56,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,ZZQS - 130cm Indigo 7 Aspiration Catheter Kit w/ XTorq Tip,SUP-698683,CDM,,,0270,RC,,,,outpatient,,,15756.3,6302.52,6775.21,16747.11,,8650.21,,,,,,,percent of total billed charges,,11060.92,,,,,,,percent of total billed charges,,7529.94,,,,,,,percent of total billed charges,,,,,,,,,,,11817.23,,,,,,,percent of total billed charges,,,,,,,,,,,11817.23,,,,,,,percent of total billed charges,,11502.1,,,,,,,percent of total billed charges,,9044.12,,,,,,,percent of total billed charges,,10273.11,,,,,,,percent of total billed charges,,7247.9,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11013.65,,,,,,,percent of total billed charges,,13077.73,,,,,,,percent of total billed charges,,6775.21,,,,,,,percent of total billed charges,,7878.15,,,,,,,percent of total billed charges,,11029.41,,,,,,,percent of total billed charges,,12006.3,,,,,,,percent of total billed charges,,9091.39,,,,,,,percent of total billed charges,,11817.23,,,,,,,percent of total billed charges,,13392.86,,,,,,,percent of total billed charges,,13392.86,,,,,,,percent of total billed charges,,11817.23,,,,,,,percent of total billed charges,,8193.28,,,,,,,percent of total billed charges,,7405.46,,,,,,,percent of total billed charges,,11029.41,,,,,,,percent of total billed charges,,13392.86,,,,,,,percent of total billed charges,,11029.41,,,,,,,percent of total billed charges,,9453.78,,,,,,,percent of total billed charges,,16747.11,,,,,,,percent of total billed charges,,7529.94,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,ZZQS - 13mm x 56mm Zenith Flex w/ Spiral-Z Technology AAA Endovascular Graft,SUP-394834,CDM,C1874,HCPCS,0278,RC,,,,outpatient,,,15581.97,6232.79,6700.25,16561.82,,8554.5,,,,,,,percent of total billed charges,,10938.54,,,,,,,percent of total billed charges,,7446.62,,,,,,,percent of total billed charges,,,,,,,,,,,11686.48,,,,,,,percent of total billed charges,,,,,,,,,,,11686.48,,,,,,,percent of total billed charges,,11374.84,,,,,,,percent of total billed charges,,8944.05,,,,,,,percent of total billed charges,,10159.44,,,,,,,percent of total billed charges,,7167.71,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10891.8,,,,,,,percent of total billed charges,,12933.04,,,,,,,percent of total billed charges,,6700.25,,,,,,,percent of total billed charges,,7790.99,,,,,,,percent of total billed charges,,10907.38,,,,,,,percent of total billed charges,,11873.46,,,,,,,percent of total billed charges,,8990.8,,,,,,,percent of total billed charges,,11686.48,,,,,,,percent of total billed charges,,13244.67,,,,,,,percent of total billed charges,,13244.67,,,,,,,percent of total billed charges,,11686.48,,,,,,,percent of total billed charges,,8102.62,,,,,,,percent of total billed charges,,7323.53,,,,,,,percent of total billed charges,,10907.38,,,,,,,percent of total billed charges,,13244.67,,,,,,,percent of total billed charges,,10907.38,,,,,,,percent of total billed charges,,9349.18,,,,,,,percent of total billed charges,,16561.82,,,,,,,percent of total billed charges,,7446.62,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,ZZQS - 14 X 60CM PENUMBRA POD OCCUSION DEVICE,SUP-611268,CDM,,,0270,RC,,,,outpatient,,,5374.2,2149.68,2310.91,5712.15,,2950.44,,,,,,,percent of total billed charges,,3772.69,,,,,,,percent of total billed charges,,2568.33,,,,,,,percent of total billed charges,,,,,,,,,,,4030.65,,,,,,,percent of total billed charges,,,,,,,,,,,4030.65,,,,,,,percent of total billed charges,,3923.17,,,,,,,percent of total billed charges,,3084.79,,,,,,,percent of total billed charges,,3503.98,,,,,,,percent of total billed charges,,2472.13,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3756.57,,,,,,,percent of total billed charges,,4460.59,,,,,,,percent of total billed charges,,2310.91,,,,,,,percent of total billed charges,,2687.1,,,,,,,percent of total billed charges,,3761.94,,,,,,,percent of total billed charges,,4095.14,,,,,,,percent of total billed charges,,3100.91,,,,,,,percent of total billed charges,,4030.65,,,,,,,percent of total billed charges,,4568.07,,,,,,,percent of total billed charges,,4568.07,,,,,,,percent of total billed charges,,4030.65,,,,,,,percent of total billed charges,,2794.58,,,,,,,percent of total billed charges,,2525.87,,,,,,,percent of total billed charges,,3761.94,,,,,,,percent of total billed charges,,4568.07,,,,,,,percent of total billed charges,,3761.94,,,,,,,percent of total billed charges,,3224.52,,,,,,,percent of total billed charges,,5712.15,,,,,,,percent of total billed charges,,2568.33,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,ZZQS - 14F x 40cm Flex Scoring Catheter,SUP-561167,CDM,,,0270,RC,,,,outpatient,,,3383,1353.2,1454.69,3595.73,,1857.27,,,,,,,percent of total billed charges,,2374.87,,,,,,,percent of total billed charges,,1616.74,,,,,,,percent of total billed charges,,,,,,,,,,,2537.25,,,,,,,percent of total billed charges,,,,,,,,,,,2537.25,,,,,,,percent of total billed charges,,2469.59,,,,,,,percent of total billed charges,,1941.84,,,,,,,percent of total billed charges,,2205.72,,,,,,,percent of total billed charges,,1556.18,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2364.72,,,,,,,percent of total billed charges,,2807.89,,,,,,,percent of total billed charges,,1454.69,,,,,,,percent of total billed charges,,1691.5,,,,,,,percent of total billed charges,,2368.1,,,,,,,percent of total billed charges,,2577.85,,,,,,,percent of total billed charges,,1951.99,,,,,,,percent of total billed charges,,2537.25,,,,,,,percent of total billed charges,,2875.55,,,,,,,percent of total billed charges,,2875.55,,,,,,,percent of total billed charges,,2537.25,,,,,,,percent of total billed charges,,1759.16,,,,,,,percent of total billed charges,,1590.01,,,,,,,percent of total billed charges,,2368.1,,,,,,,percent of total billed charges,,2875.55,,,,,,,percent of total billed charges,,2368.1,,,,,,,percent of total billed charges,,2029.8,,,,,,,percent of total billed charges,,3595.73,,,,,,,percent of total billed charges,,1616.74,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,ZZQS - 14Fr Amplatzer TorqVue Delivery Sheath,SUP-553932,CDM,,,0270,RC,,,,inpatient,,,2550,1020,1096.5,2710.35,,1399.95,,,,,,,percent of total billed charges,,1790.1,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,1912.5,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,1912.5,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,1861.5,,,,,,,percent of total billed charges,,1463.7,,,,,,,percent of total billed charges,,1662.6,,,,,,,percent of total billed charges,,1173,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782.45,,,,,,,percent of total billed charges,,2116.5,,,,,,,percent of total billed charges,,1096.5,,,,,,,percent of total billed charges,,1275,,,,,,,percent of total billed charges,,1785,,,,,,,percent of total billed charges,,1943.1,,,,,,,percent of total billed charges,,1471.35,,,,,,,percent of total billed charges,,1912.5,,,,,,,percent of total billed charges,,2167.5,,,,,,,percent of total billed charges,,2167.5,,,,,,,percent of total billed charges,,1912.5,,,,,,,percent of total billed charges,,1326,,,,,,,percent of total billed charges,,1198.5,,,,,,,percent of total billed charges,,1785,,,,,,,percent of total billed charges,,2167.5,,,,,,,percent of total billed charges,,1785,,,,,,,percent of total billed charges,,1530,,,,,,,percent of total billed charges,,2710.35,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,ZZQS - 14Fr EnVeo PRO Delivery Catheter System,SUP-595829,CDM,,,0270,RC,,,,outpatient,,,6709.8,2683.92,2885.21,7131.74,,3683.68,,,,,,,percent of total billed charges,,4710.28,,,,,,,percent of total billed charges,,3206.61,,,,,,,percent of total billed charges,,,,,,,,,,,5032.35,,,,,,,percent of total billed charges,,,,,,,,,,,5032.35,,,,,,,percent of total billed charges,,4898.15,,,,,,,percent of total billed charges,,3851.43,,,,,,,percent of total billed charges,,4374.79,,,,,,,percent of total billed charges,,3086.51,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4690.15,,,,,,,percent of total billed charges,,5569.13,,,,,,,percent of total billed charges,,2885.21,,,,,,,percent of total billed charges,,3354.9,,,,,,,percent of total billed charges,,4696.86,,,,,,,percent of total billed charges,,5112.87,,,,,,,percent of total billed charges,,3871.55,,,,,,,percent of total billed charges,,5032.35,,,,,,,percent of total billed charges,,5703.33,,,,,,,percent of total billed charges,,5703.33,,,,,,,percent of total billed charges,,5032.35,,,,,,,percent of total billed charges,,3489.1,,,,,,,percent of total billed charges,,3153.61,,,,,,,percent of total billed charges,,4696.86,,,,,,,percent of total billed charges,,5703.33,,,,,,,percent of total billed charges,,4696.86,,,,,,,percent of total billed charges,,4025.88,,,,,,,percent of total billed charges,,7131.74,,,,,,,percent of total billed charges,,3206.61,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
